time,ax,ay,az
0.000000,0.000000,0.000000,0.000000
0.002000,0.012064,0.005026,0.017090
0.004000,0.024126,0.010052,0.034178
0.006000,0.036186,0.015077,0.051263
0.008000,0.048242,0.020101,0.068343
0.010000,0.060293,0.025122,0.085415
0.012000,0.072338,0.030141,0.102479
0.014000,0.084376,0.035157,0.119533
0.016000,0.096406,0.040169,0.136575
0.018000,0.108425,0.045177,0.153603
0.020000,0.120434,0.050181,0.170615
0.022000,0.132431,0.055179,0.187610
0.024000,0.144414,0.060172,0.204586
0.026000,0.156382,0.065159,0.221542
0.028000,0.168335,0.070140,0.238475
0.030000,0.180271,0.075113,0.255384
0.032000,0.192188,0.080078,0.272267
0.034000,0.204086,0.085036,0.289122
0.036000,0.215964,0.089985,0.305949
0.038000,0.227819,0.094925,0.322744
0.040000,0.239652,0.099855,0.339507
0.042000,0.251460,0.104775,0.356236
0.044000,0.263243,0.109685,0.372928
0.046000,0.275000,0.114583,0.389583
0.048000,0.286728,0.119470,0.406198
0.050000,0.298428,0.124345,0.422773
0.052000,0.310097,0.129207,0.439305
0.054000,0.321735,0.134056,0.455792
0.056000,0.333341,0.138892,0.472233
0.058000,0.344913,0.143714,0.488627
0.060000,0.356450,0.148521,0.504971
0.062000,0.367951,0.153313,0.521264
0.064000,0.379415,0.158089,0.537504
0.066000,0.390840,0.162850,0.553690
0.068000,0.402226,0.167594,0.569820
0.070000,0.413572,0.172321,0.585893
0.072000,0.424875,0.177031,0.601906
0.074000,0.436136,0.181723,0.617859
0.076000,0.447352,0.186397,0.633749
0.078000,0.458523,0.191051,0.649575
0.080000,0.469648,0.195687,0.665335
0.082000,0.480726,0.200302,0.681028
0.084000,0.491755,0.204898,0.696653
0.086000,0.502734,0.209473,0.712207
0.088000,0.513662,0.214026,0.727688
0.090000,0.524539,0.218558,0.743097
0.092000,0.535362,0.223068,0.758430
0.094000,0.546132,0.227555,0.773687
0.096000,0.556846,0.232019,0.788865
0.098000,0.567504,0.236460,0.803964
0.100000,0.578104,0.240877,0.818981
0.102000,0.588647,0.245269,0.833916
0.104000,0.599129,0.249637,0.848766
0.106000,0.609551,0.253980,0.863531
0.108000,0.619912,0.258297,0.878208
0.110000,0.630210,0.262587,0.892797
0.112000,0.640444,0.266852,0.907295
0.114000,0.650613,0.271089,0.921702
0.116000,0.660717,0.275299,0.936015
0.118000,0.670754,0.279481,0.950234
0.120000,0.680723,0.283634,0.964357
0.122000,0.690623,0.287760,0.978383
0.124000,0.700454,0.291856,0.992309
0.126000,0.710213,0.295922,1.006135
0.128000,0.719901,0.299959,1.019860
0.130000,0.729516,0.303965,1.033482
0.132000,0.739058,0.307941,1.046999
0.134000,0.748525,0.311885,1.060410
0.136000,0.757916,0.315798,1.073714
0.138000,0.767230,0.319679,1.086909
0.140000,0.776467,0.323528,1.099995
0.142000,0.785626,0.327344,1.112970
0.144000,0.794705,0.331127,1.125832
0.146000,0.803704,0.334876,1.138580
0.148000,0.812621,0.338592,1.151213
0.150000,0.821457,0.342274,1.163730
0.152000,0.830209,0.345920,1.176129
