time,ax,ay,az
0.000000,0.006094,0.005064,0.006672
0.002000,-0.020800,0.017904,0.024727
0.004000,0.015009,0.005466,0.024317
0.006000,0.018811,0.044777,-0.009019
0.008000,-0.039021,0.028596,0.003880
0.010000,-0.026044,-0.006151,-0.037282
0.012000,0.002557,-0.006361,0.001982
0.014000,-0.006325,0.009394,-0.015880
0.016000,-0.000336,-0.016760,-0.003728
0.018000,-0.017061,0.023326,-0.033707
0.020000,0.017588,0.007232,0.008097
0.022000,0.015556,0.005129,-0.033931
0.024000,0.001321,0.013739,0.002966
0.026000,0.022545,0.034457,-0.024530
0.028000,0.009350,0.003419,-0.016993
0.030000,-0.017186,-0.002261,0.023095
0.032000,0.007375,0.030174,0.011758
0.034000,-0.019178,0.019351,0.022984
0.036000,0.017569,-0.006420,0.031195
0.038000,-0.000999,0.000104,-0.015457
0.040000,-0.003697,0.003908,0.029979
0.042000,-0.013619,0.007236,-0.029310
0.044000,0.024451,-0.027132,0.014922
0.046000,-0.003091,-0.030850,-0.009867
0.048000,-0.008567,-0.017748,-0.018606
0.050000,-0.007043,-0.019295,0.012289
0.052000,0.010646,-0.012876,0.018899
0.054000,0.007309,0.012694,0.018305
0.056000,0.008255,-0.003379,0.004297
0.058000,0.008616,0.003928,0.002639
0.060000,0.042833,-0.024486,0.010537
0.062000,-0.008128,-0.009233,0.006075
0.064000,-0.010245,0.011745,0.010827
0.066000,-0.016275,0.011899,0.004080
0.068000,0.012320,-0.014491,0.016856
0.070000,0.022579,0.003233,-0.032544
0.072000,-0.002279,0.043977,-0.002625
0.074000,-0.016803,-0.000352,-0.027677
0.076000,-0.016490,-0.013864,0.005534
0.078000,0.013012,-0.003475,0.032839
0.080000,0.014865,0.001844,-0.009482
0.082000,0.010863,-0.003023,0.002545
0.084000,-0.013310,-0.000627,0.015130
0.086000,0.004643,-0.028869,-0.041354
0.088000,0.002334,-0.019253,-0.010442
0.090000,0.004374,-0.002987,0.007290
0.092000,0.017429,-0.003305,-0.057940
0.094000,0.004472,-0.011324,-0.019536
0.096000,0.013578,-0.003540,0.022017
0.098000,0.001352,0.001220,0.020060
0.100000,0.005782,0.017788,0.007486
0.102000,0.012626,-0.001984,0.017644
0.104000,-0.029143,0.007982,0.004302
0.106000,-0.006393,-0.010832,0.011108
0.108000,-0.009407,0.011442,-0.006313
0.110000,-0.012778,0.007515,0.002316
0.112000,-0.005503,0.017316,-0.012647
0.114000,0.029899,0.014269,0.025270
0.116000,-0.017317,0.011775,0.030431
0.118000,0.019366,-0.001968,0.027598
0.120000,-0.033657,0.004899,-0.008162
0.122000,-0.006698,0.021270,-0.019075
0.124000,0.003255,-0.013041,0.025539
0.126000,0.011724,-0.012568,0.010878
0.128000,0.014225,0.003629,0.006572
0.130000,0.015867,0.008306,-0.012673
0.132000,-0.006975,-0.016482,0.008513
0.134000,-0.009247,-0.001495,-0.021706
0.136000,0.017160,-0.001880,0.012681
0.138000,-0.003826,-0.044306,0.027578
0.140000,-0.025514,-0.004392,0.032621
0.142000,-0.022666,-0.003146,0.014170
0.144000,-0.018389,-0.003206,-0.027640
0.146000,0.009943,0.028318,0.003947
0.148000,0.002849,-0.024316,0.042794
0.150000,0.013810,-0.016492,-0.017372
0.152000,-0.008545,-0.052244,-0.001184
0.154000,0.003171,-0.009618,0.028270
0.156000,0.012512,-0.007913,0.012343
0.158000,-0.006187,-0.010200,0.049603
0.160000,0.009136,0.022154,-0.014657
0.162000,-0.013239,0.017212,-0.019795
0.164000,-0.007261,0.001557,0.024483
0.166000,-0.007635,-0.007412,-0.023918
